id,smiles,pIC50,n,source
ALP-POS-95f71980-28,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(N2CCCS2(=O)=O)cc1,4.56,1,Moonshot
DAV-CRI-3edb475e-6,CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,4.55,1,Moonshot
MAT-POS-d8472c4f-4,O=C(Nc1cncc2ccccc12)c1ccnc2cc(Cl)c(Cl)cc12,4.55,1,Moonshot
CHEMBL2311695,CC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)cc1,4.55,1,ChEMBL
CHEMBL223094,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)O)C(C)C,4.55,1,ChEMBL
CHEMBL5278309,O=C(c1ccc(-c2ccc(Cl)cc2)o1)C(F)c1cncc(Br)c1,4.55,1,ChEMBL
CHEMBL5441894,O=C(c1nnn[nH]1)N1CCC(c2ccn3ncc(C(=O)N4CCCCC4)c3c2)CC1,4.55,1,ChEMBL
CHEMBL5441921,O=C(N[C@@H]1CCC[C@@H]1C(=O)O)c1cnn2ccc(C3CCN(C(=O)c4ccc(Cl)cc4)CC3)cc12,4.55,1,ChEMBL
CHEMBL5441899,O=C(O)C[C@@H](NC(=O)c1c[nH]c2ncccc12)c1ccc(Br)cc1,4.55,1,ChEMBL
CHEMBL6102427,CC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C)c1cc(Cl)c(OCCN(C)C)c(Cl)c1,4.55,1,ChEMBL
ALP-POS-95f71980-3,Cc1cnnn1-c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.55,1,Moonshot
EDJ-MED-ee742daa-4,CN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cnccc2C(F)(F)F)C1,4.54,1,Moonshot
CHEMBL5424171,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)CCC(N)=O)cc12,4.54,1,ChEMBL
CHEMBL5441757,CNc1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)c12,4.54,1,ChEMBL
CHEMBL5441787,COC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)CCN4)C(C)C)ncnc2[nH]1,4.54,1,ChEMBL
CHEMBL5570180,CCCCCCCCCC(C)CCC(C)C(=O)O,4.54,1,ChEMBL
ALP-POS-305f6ec3-2,CC(C)(C)c1ccc(N(C(=O)c2c[nH]c(=O)s2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.54,1,Moonshot
STE-KUL-d79e3d6a-4,C#CCCCC(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,4.54,1,Moonshot
ALP-POS-88a7a97e-10,CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C(C)(C)C)cc1,4.53,1,Moonshot
CHEMBL5186585,CC(C)(C)c1ccc2c(c1)nc(SC(Cc1ccccc1)C(=O)N1CCOC1=O)n2Cc1ccccc1,4.53,1,ChEMBL
CHEMBL5179950,O=C(CSc1nc2cc(Cl)c(Cl)cc2n1Cc1ccccc1)N1CCOC1=O,4.53,1,ChEMBL
CHEMBL5206974,CC(=O)OCC1Cc2c(-c3ccccn3)cccc2-c2c(O)ccc(C(C)C)c21,4.53,1,ChEMBL
CHEMBL5591631,CC1(C)C=Cc2c(ccc3cc(C(=O)N/N=C/c4cnc5ccccc5c4)oc23)O1,4.53,1,ChEMBL
RAL-THA-2d450e86-38,Cc1ccccc1CC(=O)Nc1cncc2ccccc12,4.53,1,Moonshot
LON-WEI-4d77710c-44,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,4.53,2,Moonshot
MED-COV-4280ac29-25,O=C(CCl)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,4.53,1,Moonshot
CHEMBL5442104,O=C(O)C[C@@H](NC(=O)c1ccc(NC(=O)NC2CC2)cc1)c1cccc(F)c1,4.53,1,ChEMBL
CHEMBL5442035,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)N(C)CCO2,4.53,1,ChEMBL
EDJ-MED-49816e9b-1,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,4.52,1,Moonshot
PEI-IMP-3d837503-1,CCOC(=O)/C=C/N1CCN(S(=O)(=O)c2ccccc2)CC1,4.52,1,Moonshot
CHEMBL5173495,CCCOc1ccc(-c2cc(OCCN3CCN(Cc4ccccc4)CC3)c3c(OC)cc(OC)cc3n2)cc1,4.52,1,ChEMBL
CHEMBL5209332,CCCOc1ccc(-c2cc(OCCN3CCCC3)c3cc(OC)cc(OC)c3n2)cc1,4.52,1,ChEMBL
CHEMBL5575599,C=CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1,4.52,1,ChEMBL
